Model,,ResNet,ResNet,ResNet,ResNet,ResNet,InceptionTime,InceptionTime,InceptionTime,InceptionTime,InceptionTime
Attribution,,GR,IG,SG,GS,FO,GR,IG,SG,GS,FO
Dataset,Perturbation,,,,,,,,,,
FordA,Gauss,-0.006009860343267103,0.05792435009826389,0.021282231622607176,-0.0397344719565824,0.08828984951644053,-0.0037796402831395603,0.1093513210650252,0.011599426355514938,-0.024689726906360433,0.14145953717871398
FordA,Inv,-0.002425280231667774,0.013715317116247603,0.00764771630578357,0.01229158102445408,0.015442567386256429,-0.0035861647142318848,0.015791351256033734,0.000716361326880305,0.010737519032928267,0.018327075358287138
FordA,Opp,-0.027176134776742984,0.0305893643874679,0.010575770106264327,0.02694431208096407,0.03996585817408063,-0.05184075441000244,0.05845053944276766,0.017623596534555,0.043953129629213585,0.0606683635726387
FordA,SubMean,-0.041309001275543385,0.07378497241986029,0.02552901495628765,0.07094732262651005,0.1266486530287672,-0.09223371894945935,0.16736295390713424,0.05146910238508554,0.1426326851372412,0.1984045506913279
FordA,Unif,-0.01251482527097023,0.007540989759681052,0.003655441944607861,0.008832471514979496,0.011031517730858227,-0.013632688526694574,0.02022781569045568,0.010098405846146175,0.016887211549709766,0.019037907419900916
FordA,Zero,-0.04117093604692,0.07452665346351937,0.025441821781020876,0.07178026490941619,0.12998832285639292,-0.09618946264773506,0.17321008576638344,0.05053543639726292,0.14892700453880633,0.2048899875869399
FordB,Gauss,-0.0018482452365812423,0.02055494628416986,-0.0015759828683334632,-0.026212990869839185,0.03008845592024326,-0.02871056750935215,0.13006148207008011,0.013646814079497378,-0.025193501484258227,0.18223944560108066
FordB,Inv,-0.0004113297089042,0.0012751532530334176,-0.0004064752978987553,0.0012832243850941537,0.0020830124542376366,-0.00695853248594189,0.01660721216938488,0.006523280523303478,0.010646914085466915,0.02103071533572578
FordB,Opp,-0.012306863925864503,0.020339638004768876,0.0025570457040275216,0.015016861927560986,0.024930139722469515,-0.04477317182931526,0.034806585801433275,-0.021586108145636794,0.025929210049252666,0.03411632577828898
FordB,SubMean,-0.02246655963837044,0.040852312527387184,0.00680284082823012,0.03249125947109183,0.06221401171567475,-0.07122141462131718,0.0904132353696657,-0.06956282688656454,0.08073208310392987,0.10244804202458022
FordB,Unif,-0.0034724926611192663,0.0033165617024323974,0.0020660712118684434,0.0034629958370968918,0.006991413073115238,-0.009025687060076053,0.007502189316806396,0.0036356236936247823,0.002870642694523684,0.006703798318444319
FordB,Zero,-0.022866928647278958,0.03971704338294341,0.00769948368303863,0.03136981456808488,0.058255727208341754,-0.07166565071072398,0.09138594517692987,-0.06947294978940009,0.08128832708739903,0.10346024889935267
Wafer,Gauss,-0.06033968738295611,-0.10485321665991104,0.005984849025171025,0.08357632732332956,-0.1644498822166459,0.015887230616965058,-0.09792861878414466,0.11881353453693527,0.17686717368437155,-0.20444432837562687
Wafer,Inv,0.021501033241686784,0.06461275896213889,0.037366152111406446,0.043192729550057644,0.1392797875544066,-0.012875990165829153,0.09291598162451234,0.026121122431364156,0.07233723251151576,0.2443456239954917
Wafer,Opp,-0.02019060322628565,0.012337247817232118,0.013140225094471356,0.010760932889801315,0.02092432038802183,-0.008949003761108108,0.059452933027798464,0.043993652337947844,0.04732568186319271,0.13435123165776494
Wafer,SubMean,0.11697347352148327,0.19789318479334458,0.012902611429394844,0.1720626182000554,0.3286004438085349,0.06011188583517515,0.0535745392659288,0.030654309805551606,0.06683706949522464,0.05828342817539785
Wafer,Unif,-0.01054292928192619,0.012207080004058343,0.034910597667256016,0.0189267550477389,0.03418625281719961,0.02952490592904198,0.023837484248302586,0.06605345632378486,0.02310230699453753,0.10210019947840684
Wafer,Zero,-0.018516654200910063,0.06381640383475891,0.0453993935157023,0.04950579362438318,0.13751504932456846,0.024169988148127288,0.07927898510962317,0.04358472834884849,0.05022096517073656,0.27810853846346406
ElectricDevices,Gauss,-0.004054853300217738,-0.009749337037929602,0.008676773674730067,0.006452655587073464,-0.008473041055582284,0.028806058524684482,-0.0008721014934182001,0.07860046665925716,0.05040300341679532,-0.0358735156338596
ElectricDevices,Inv,0.013752846626392479,0.05879050108937209,0.07964752175542747,0.05184209386164387,0.07086266272645687,-0.025662446946131835,0.05965480296674079,0.009738663336760671,0.0555959130171005,0.02784595919907985
ElectricDevices,Opp,0.022717168293514632,0.17985516149997288,0.0608254868578003,0.1440281409739736,0.21962973036940486,0.07254620211240641,0.18280163854876827,0.0871651113458712,0.17851486915238968,0.19722289282928834
ElectricDevices,SubMean,0.1425759523789786,0.23611671443143725,0.21963797137184038,0.22162229877106546,0.27179447845933685,0.14829596669100512,0.2171732333478883,0.11280636086117757,0.20115296649503125,0.29016981271290376
ElectricDevices,Unif,0.05221097022840463,0.09425867300575032,0.0522524947053451,0.05726864901263328,0.15639675978130257,0.03758842372069611,0.10281597584413836,0.04840669473618883,0.06982060326101117,0.10716408795142875
ElectricDevices,Zero,0.03547733802152341,0.15593991425809942,0.07534757812069652,0.12202007154407452,0.27075941090680133,0.0850071139046479,0.1867143695605452,0.07596572899219144,0.16380543994819266,0.26882031433753334
